occupants,lighting,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,refrigerator,extra_refrigerator,freezer,dishwasher,dishwasher_power,clothes_washer,clothes_washer_power,clothes_dryer,clothes_dryer_exhaust,fixtures,ceiling_fan,plug_loads_other,plug_loads_tv,plug_loads_vehicle,plug_loads_well_pump,fuel_loads_grill,fuel_loads_lighting,fuel_loads_fireplace,pool_pump,pool_heater,hot_tub_pump,hot_tub_heater
1,0.43,0.965,0.965,0.679,0,0.703,0.703,0.703,0,0,0,0,0,0,0.019,0.729,0.717,0.923,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0.271,0.261
1,0.374,0.825,0.825,0.132,0,0.672,0.672,0.672,0,0,0,0,0,0,0.010,0.636,0.655,0.582,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0.151,0.145
1,0.116,0.699,0.699,0.0658,0,0.626,0.626,0.626,0,0,0,0,0,0,0.091,0.405,0.535,0.265,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0.151,0.145
1,0.0743,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0.019,0.358,0.529,0.113,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0.151,0.145
1,0.0495,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0,0,0,0,0.258,0.465,0.0567,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0.183,0.176
1,0.0495,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0,0,0,0,0.258,0.465,0.0309,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0.151,0.145
1,0.0495,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0,0,0,0,0.258,0.465,0.0206,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0.183,0.176
1,0.0495,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0.296,0.285
1,0.0495,0.503,0.503,0,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0.258,0.465,0.0361,1,0.208,0.0745,0.208,0.208,0.117,0.117,0.422,0.406
1,0.151,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0,0,0,0.108,0.372,0.541,0.0619,1,0.301,0.18,0.301,0.301,0.203,0.203,0.359,0.345
0.667,0.183,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0.191,0.391,0.572,0.111,1,0.381,0.286,0.381,0.381,0.344,0.344,0.151,0.145
1,0.192,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0,0.33,0.579,0.183,1,0.381,0.273,0.381,0.381,0.657,0.657,0.151,0.145
0.667,0.343,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0,0.3,0.692,0.242,1,0.37,0.255,0.37,0.37,0.947,0.947,0.12,0.115
0.333,0.192,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.284,0.579,0.289,1,0.381,0.273,0.381,0.381,0.994,0.994,0.0945,0.0909
0.333,0.186,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0.048,0.288,0.585,0.317,1,0.381,0.286,0.381,0.381,0.947,0.947,0.0882,0.0849
0.333,0.181,0.336,0.336,0,0.249,0.641,0.641,0.641,0,0,0,0,0,0,0.010,0.284,0.591,0.34,1,0.37,0.261,0.37,0.37,0.939,0.939,0.0882,0.0849
0.333,0.18,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0.057,0.302,0.591,0.402,1,0.37,0.236,0.37,0.37,0.704,0.704,0.0882,0.0849
1,0.448,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0.019,0.433,0.824,0.459,1,0.37,0.304,0.37,0.37,0.587,0.587,0.151,0.145
0.667,0.343,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0.057,0.384,0.73,0.505,1,0.381,0.366,0.381,0.381,0.477,0.477,0.365,0.352
0.667,0.418,0.545,0.545,0,0,0.672,0.672,0.672,0,0,0,0,0,0,0.029,0.449,0.755,0.531,1,0.52,0.683,0.52,0.52,0.29,0.29,0.794,0.764
1,0.798,0.741,0.741,0,0,0.733,0.733,0.733,0,0,0,0,0,0,0.029,0.741,0.974,0.549,1,0.659,1,0.659,0.659,0.18,0.18,0.769,0.739
0.667,0.669,0.881,0.881,0,0,0.764,0.764,0.764,0,0,0,0,0,0,0,0.673,0.817,0.647,1,0.763,0.714,0.763,0.763,0.102,0.102,0.428,0.412
1,0.677,0.937,0.937,0,0,0.733,0.733,0.733,0,0,0,0,0,0,0.029,0.711,0.78,0.851,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0.384,0.37
1,0.823,0.993,0.993,0,0,0.718,0.718,0.718,0,0,0,0,0,0,0.276,0.993,0.88,1,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0.321,0.309
1,0.621,0.965,0.965,0,0,0.703,0.703,0.703,0,0,0,0,0,0,0,0.965,0.843,0.923,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0.271,0.261
1,0.536,0.825,0.825,0,0,0.672,0.672,0.672,0,0,0,0,0,0,0,0.825,0.749,0.582,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0.151,0.145
1,0.183,0.699,0.699,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0.111,0.552,0.605,0.265,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0.151,0.145
1,0.0495,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.258,0.465,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0.151,0.145
1,0.0495,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0,0,0,0,0.258,0.465,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0.183,0.176
1,0.0495,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0,0,0,0,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0.151,0.145
1,0.0495,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0.183,0.176
1,0.0495,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0.296,0.285
1,0.0495,0.503,0.503,0,0.465,0.55,0.55,0.55,0,0,0,0,0,0,0,0.258,0.465,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0.422,0.406
1,0.355,0.601,0.601,0,0.299,0.58,0.58,0.58,0,0,0,0,0,0,0,0.601,0.693,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0.359,0.345
0.667,0.316,0.657,0.657,0,0.767,0.611,0.611,0.611,0,0,0,0,0,0,0,0.524,0.68,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0.151,0.145
0.333,0.192,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0,0.33,0.579,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0.151,0.145
0.333,0.196,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0.019,0.279,0.579,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0.12,0.115
0.333,0.192,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0.076,0.284,0.579,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0.0945,0.0909
0.333,0.186,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0.057,0.288,0.585,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0.0882,0.0849
0.333,0.181,0.336,0.336,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0,0.284,0.591,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0.0882,0.0849
0.333,0.18,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0.029,0.302,0.591,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0.0882,0.0849
0.333,0.182,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0.085,0.316,0.585,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0.151,0.145
0.667,0.343,0.447,0.447,0,0.767,0.626,0.626,0.626,0,0,0,0,0,0,0.145,0.384,0.73,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0.365,0.352
0.667,0.418,0.545,0.545,0,0,0.672,0.672,0.672,0,0,0,0,0,0,0.048,0.449,0.755,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0.794,0.764
0.667,0.548,0.741,0.741,0,0.964,0.733,0.733,0.733,0,0,0,0,0,0,0.156,0.58,0.805,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0.769,0.739
1,0.669,0.881,0.881,0,0.316,0.764,0.764,0.764,0,0,0,0,0,0,0.019,0.673,0.817,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0.428,0.412
1,0.991,0.937,0.937,0,0,0.733,0.733,0.733,0,0,0,0,0,0,0.010,0.937,0.937,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0.384,0.37
1,0.823,0.993,0.993,0,0,0.718,0.718,0.718,0,0,0,0,0,0,0.019,0.993,0.88,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0.321,0.309
1,0.43,0.965,0.965,0,0,0.703,0.703,0.703,0,0,0,0,0,0,0,0.729,0.717,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0.271,0.261
1,0.212,0.825,0.825,0,0,0.672,0.672,0.672,0,0,0,0,0,0,0.246,0.447,0.56,0.536,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0.151,0.145
1,0.116,0.699,0.699,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0.129,0.405,0.535,0.232,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0.151,0.145
1,0.0743,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.358,0.529,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0.151,0.145
1,0.0495,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0,0,0,0,0.258,0.465,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0.183,0.176
1,0.0495,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0,0,0,0,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0.151,0.145
1,0.0495,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0,0,0,0.113,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0.183,0.176
1,0.0513,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0,0,0,0.121,0.326,0.51,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0.296,0.285
1,0.0833,0.503,0.503,0,0.216,0.55,0.55,0.55,0,0,0,0,0,0,0.240,0.34,0.516,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0.422,0.406
1,0.253,0.601,0.601,0,0.299,0.58,0.58,0.58,0,0,0,0,0,0,0,0.487,0.617,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0.359,0.345
0.667,0.183,0.657,0.657,0,0.465,0.611,0.611,0.611,0,0,0,0,0,0,0.019,0.391,0.572,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0.151,0.145
0.333,0.192,0.475,0.475,0,0.050,0.626,0.626,0.626,0,0,0,0,0,0,0.019,0.33,0.579,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0.151,0.145
0.333,0.196,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0.321,0.617,0,0,0.019,0.279,0.579,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0.12,0.115
0.333,0.192,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0.530,0,0.267,0.267,0.019,0.284,0.579,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0.0945,0.0909
0.333,0.186,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0.448,0,0,0,0.019,0.288,0.585,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0.0882,0.0849
0.333,0.181,0.336,0.336,0,0,0.641,0.641,0.641,0,0,0.492,0,0,0,0.038,0.284,0.591,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0.0882,0.0849
0.333,0.18,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0.597,0,0,0,0,0.302,0.591,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0.0882,0.0849
0.333,0.182,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0.659,0,0,0,0.019,0.316,0.585,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0.151,0.145
0.333,0.196,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0.347,0,0,0,0,0.321,0.597,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0.365,0.352
0.667,0.418,0.545,0.545,0,0,0.672,0.672,0.672,0,0,0.724,0,0,0,0.019,0.449,0.755,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0.794,0.764
0.667,0.548,0.741,0.741,0,0,0.733,0.733,0.733,0,0,0.490,0,0,0,0.057,0.58,0.805,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0.769,0.739
0.667,0.669,0.881,0.881,0,0,0.764,0.764,0.764,0,0,0.278,0,0,0,0.019,0.673,0.817,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0.428,0.412
1,0.991,0.937,0.937,0,0,0.733,0.733,0.733,0,0,0.396,0,0,0,0.133,0.937,0.937,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0.384,0.37
1,0.823,0.993,0.993,0,0,0.718,0.718,0.718,0,0,0.688,0,0,0,0,0.993,0.88,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0.321,0.309
1,0.621,0.965,0.965,0,0,0.703,0.703,0.703,0,0,0.100,0,0,0,0.010,0.965,0.843,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0.271,0.261
1,0.212,0.825,0.825,0,0,0.672,0.672,0.672,0,0,0,0,0,0,0.038,0.447,0.56,0.536,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0.151,0.145
1,0.116,0.699,0.699,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0,0.405,0.535,0.232,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0.151,0.145
1,0.0743,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.358,0.529,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0.151,0.145
1,0.0495,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0,0,0,0,0.258,0.465,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0.183,0.176
1,0.0495,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0,0,0,0,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0.151,0.145
1,0.0495,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0.183,0.176
1,0.0495,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0.296,0.285
1,0.0833,0.503,0.503,0,0,0.55,0.55,0.55,0,0,0,0,0,0,0.095,0.34,0.516,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0.422,0.406
0.333,0.0495,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0,0,0,0,0.258,0.465,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0.359,0.345
0,0.0495,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.258,0.465,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0.151,0.145
0,0.0495,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0.029,0.258,0.465,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0.151,0.145
0.333,0.196,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0.356,0.319,0,0,0,0.279,0.579,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0.12,0.115
0.333,0.192,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0.452,0.595,0.416,0.416,0.010,0.284,0.579,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0.0945,0.0909
0.333,0.186,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0.379,0,0.667,0.667,0,0.288,0.585,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0.0882,0.0849
0.333,0.181,0.336,0.336,0,0.465,0.641,0.641,0.641,0,0,0.396,0,0,0,0,0.284,0.591,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0.0882,0.0849
0.667,0.311,0.392,0.392,0,0.050,0.641,0.641,0.641,0,0,0.316,0,0,0,0.010,0.347,0.717,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0.0882,0.0849
0.667,0.315,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0.535,0,0,0,0,0.375,0.705,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0.151,0.145
0.333,0.196,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0.048,0.321,0.597,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0.365,0.352
0.333,0.234,0.545,0.545,0,0,0.672,0.672,0.672,0,0,0.113,0.298,0,0,0.010,0.354,0.61,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0.794,0.764
0.667,0.548,0.741,0.741,0,0,0.733,0.733,0.733,0,0,0.851,0,0.818,0.818,0,0.58,0.805,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0.769,0.739
1,0.979,0.881,0.881,0,0,0.764,0.764,0.764,0,0,0.575,0,0,0,0,0.881,0.993,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0.428,0.412
0.667,0.677,0.937,0.937,0,0,0.733,0.733,0.733,0,0,0.784,0,0,0,0.048,0.711,0.78,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0.384,0.37
0.667,0.565,0.993,0.993,0,0,0.718,0.718,0.718,0,0,0.470,0,0,0,0.010,0.748,0.742,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0.321,0.309
1,0.621,0.965,0.965,0,0,0.703,0.703,0.703,0,0,0.826,0,0,0,0.029,0.965,0.843,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0.271,0.261
1,0.374,0.825,0.825,0,0,0.672,0.672,0.672,0,0,0.296,0,0,0,0.019,0.636,0.655,0.536,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0.151,0.145
1,0.183,0.699,0.699,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0.057,0.552,0.605,0.232,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0.151,0.145
1,0.0495,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.258,0.465,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0.151,0.145
1,0.0495,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0,0,0,0,0.258,0.465,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0.183,0.176
1,0.0495,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0,0,0,0.010,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0.151,0.145
1,0.0495,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0.183,0.176
1,0.0495,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0.296,0.285
1,0.0495,0.503,0.503,0,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0.258,0.465,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0.422,0.406
0.667,0.0495,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0,0,0,0,0.258,0.465,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0.359,0.345
0.667,0.0495,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0.167,0.258,0.465,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0.151,0.145
0.667,0.192,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0.079,0.33,0.579,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0.151,0.145
0.333,0.196,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0,0.279,0.579,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0.12,0.115
0,0.0495,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.258,0.465,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0.0945,0.0909
0,0.0495,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.258,0.465,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0.0882,0.0849
0,0.0495,0.336,0.336,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0.019,0.258,0.465,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0.0882,0.0849
0,0.0495,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0.048,0.258,0.465,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0.0882,0.0849
0.333,0.182,0.433,0.433,0,0.964,0.641,0.641,0.641,0,0,0,0,0,0,0,0.316,0.585,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0.151,0.145
0.667,0.343,0.447,0.447,0,0.316,0.626,0.626,0.626,0,0,0,0,0,0,0,0.384,0.73,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0.365,0.352
1,0.602,0.545,0.545,0,0,0.672,0.672,0.672,0,0,0,0,0,0,0,0.545,0.899,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0.794,0.764
1,0.798,0.741,0.741,0,0,0.733,0.733,0.733,0,0,0,0,0,0,0.029,0.741,0.974,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0.769,0.739
1,0.979,0.881,0.881,0,0.249,0.764,0.764,0.764,0,0,0,0,0,0,0.048,0.881,0.993,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0.428,0.412
1,0.991,0.937,0.937,0,0,0.733,0.733,0.733,0,0,0,0,0,0,0.067,0.937,0.937,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0.384,0.37
1,0.823,0.993,0.993,0,0,0.718,0.718,0.718,0,0,0,0,0,0,0.019,0.993,0.88,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0.321,0.309
1,0.43,0.965,0.965,0,0,0.703,0.703,0.703,0,0,0,0,0,0,0,0.729,0.717,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0.271,0.261
1,0.212,0.825,0.825,0,0,0.672,0.672,0.672,0,0,0,0,0,0,0.010,0.447,0.56,0.536,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0.151,0.145
1,0.0495,0.699,0.699,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0.038,0.258,0.465,0.232,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0.151,0.145
1,0.0495,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.258,0.465,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0.151,0.145
1,0.0495,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0,0,0,0,0.258,0.465,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0.183,0.176
1,0.0495,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0,0,0,0,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0.151,0.145
1,0.0495,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0.183,0.176
1,0.0495,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0.296,0.285
1,0.0495,0.503,0.503,0,0.249,0.55,0.55,0.55,0,0,0,0,0,0,0.268,0.258,0.465,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0.422,0.406
1,0.253,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0,0,0,0.155,0.487,0.617,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0.359,0.345
0.667,0.183,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.391,0.572,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0.151,0.145
0.333,0.0495,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0,0.258,0.465,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0.151,0.145
0.333,0.0495,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0,0,0,0,0.258,0.465,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0.12,0.115
0.333,0.0495,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0.038,0.258,0.465,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0.0945,0.0909
0.333,0.0495,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0,0,0,0,0.258,0.465,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0.0882,0.0849
0.333,0.0495,0.336,0.336,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0,0.258,0.465,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0.0882,0.0849
0.333,0.0495,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0,0.258,0.465,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0.0882,0.0849
0.333,0.0495,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0,0.258,0.465,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0.151,0.145
0.333,0.196,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0.227,0.638,0,0,0,0.321,0.597,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0.365,0.352
0.333,0.234,0.545,0.545,0,0,0.672,0.672,0.672,0,0,0.791,0.277,0.535,0.535,0,0.354,0.61,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0.794,0.764
0.333,0.299,0.741,0.741,0,0.964,0.733,0.733,0.733,0,0,0,0,0,0,0,0.419,0.635,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0.769,0.739
0.667,0.669,0.881,0.881,0,0.066,0.764,0.764,0.764,0,0,0,0,0,0,0.057,0.673,0.817,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0.428,0.412
0.667,0.677,0.937,0.937,0,0,0.733,0.733,0.733,0,0,0,0,0,0,0.057,0.711,0.78,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0.384,0.37
1,0.823,0.993,0.993,0,0.249,0.718,0.718,0.718,0,0,0,0,0,0,0.095,0.993,0.88,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0.321,0.309
1,0.621,0.965,0.965,0,0,0.703,0.703,0.703,0,0,0,0,0,0,0.128,0.965,0.843,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0.271,0.261
