occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,hot_water_showers,hot_water_showers_minutes
1,0.0749,0.0749,0,0,0,0,0.281,0.612,0.0424,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0.13,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0.0529,0.0719,4
1,0.0841,0.0841,0,0.583,0,0,0.281,0.612,0.026,0.727,0,0.223,0.303,14
1,0.153,0.153,0,0.767,0,0,0.281,0.625,0.0355,0,0,0,0,0
1,0.184,0.184,0.5,0,0,0,0.281,0.645,0.0449,0,0,0,0,0
1,0.337,0.337,0.0167,0,0,0,0.14,0.738,0.0895,0,0,0.26,0,0
0.667,0.198,0.198,0,0.583,0,0,0.281,0.652,0.0604,0.729,0,0.173,0,0
0.667,0.337,0.337,0,0.767,0,0,0.14,0.738,0.117,0.21,0,0.0866,0,0
0.667,0.325,0.325,0,0,0,0,0.14,0.738,0.129,0,0,0.112,0.152,7
0.667,0.316,0.316,0,0,0,0,0.14,0.738,0.136,0,0,0.0813,0.111,5
0.667,0.313,0.313,0,0,0,0,0.14,0.738,0.153,0,0,0,0,0
0.667,0.318,0.318,0,0,0,0,0.14,0.738,0.162,0,0,0.173,0,0
1,0.494,0.494,0,0,0,0,0,0.863,0.263,0,0,0.838,0.382,17
0.667,0.421,0.421,0,0,0,0,0.14,0.803,0.224,0,0,0.0866,0,0
0,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0.0866,0,0
0.333,0.363,0.363,0,0,0,0,0.281,0.71,0.191,0,0,0.0433,0,0
0.667,0.683,0.683,0.25,0,0,0,0.14,0.842,0.51,0,0,0.0866,0,0
0.667,0.57,0.57,0,0,0,0,0.14,0.816,0.629,0,0,0.303,0,0
0.667,0.434,0.434,0,0,0,0,0.14,0.764,0.596,0,0,0.0866,0,0
0.667,0.214,0.214,0,0,0,0,0.281,0.639,0.189,0,0,0.373,0.507,23
1,0.184,0.184,0,0,0,0,0.14,0.672,0.16,0,0,0.122,0.165,8
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0.291,0.396,18
1,0.184,0.184,0,0,0,0,0.281,0.645,0.0449,0,0,0.297,0.403,18
0.667,0.337,0.337,0,0,0,0,0.14,0.738,0.0895,0,0,0.253,0.344,16
0.667,0.346,0.346,0,0,0,0,0.14,0.738,0.105,0,0,0.0433,0,0
0.333,0.194,0.194,0,0,1,0.133,0.281,0.652,0.0664,0,0.0039,0.0866,0,0
0.333,0.187,0.187,0,0.583,0,0.683,0.281,0.652,0.0724,0.523,0.475,0.0433,0,0
0.333,0.183,0.183,0,1,0,0,0.281,0.652,0.0759,0.702,0,0,0,0
0.333,0.182,0.182,0,0.3,0,0,0.281,0.652,0.0845,0,0,0.13,0,0
0.333,0.184,0.184,0,0,0,0,0.281,0.652,0.0888,0,0,0.346,0,0
0.333,0.198,0.198,0,0,0,0,0.281,0.665,0.0982,0,0,0.173,0,0
0.333,0.236,0.236,0,0,0,0,0.281,0.684,0.12,0,0,0.0866,0,0
0.333,0.302,0.302,0.25,0,0,0,0.281,0.704,0.145,0,0,0.0866,0,0
0.667,0.675,0.675,0,0,0,0,0.14,0.855,0.366,0,0,0.346,0,0
0.667,0.683,0.683,0,0,0.103,0,0.14,0.842,0.51,0,0,0.0433,0,0
0.667,0.57,0.57,0,0,0.379,0.267,0.14,0.816,0.629,0,0.323,0,0,0
0.667,0.434,0.434,0,0,0,0,0.14,0.764,0.596,0,0.222,0.665,0.198,9
1,0.541,0.541,0,0,0,0,0,0.784,0.536,0,0,0.111,0.151,7
1,0.184,0.184,0,0,0,0,0.14,0.672,0.16,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.281,0.612,0.0166,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0.229,0.193,9
1,0.184,0.184,0,0,0,0,0.281,0.645,0.0449,0,0,0.445,0.369,12
0.667,0.194,0.194,0,0,0,0,0.281,0.652,0.0527,0,0,0.0924,0.126,6
0.667,0.198,0.198,0,0,0.103,0,0.281,0.652,0.0604,0,0,0,0,0
0.333,0.05,0.05,0,0,0.379,0.883,0.421,0.566,0.0159,0,0.259,0.173,0,0
0.667,0.325,0.325,0,0,0,0.2,0.14,0.738,0.129,0,0.508,0.0866,0,0
0.333,0.183,0.183,0,0,0,0,0.281,0.652,0.0759,0,0.347,0,0,0
0.333,0.182,0.182,0,0,0,0,0.281,0.652,0.0845,0,0.536,0,0,0
0.333,0.184,0.184,0,0,0,0,0.281,0.652,0.0888,0,0.217,0.0866,0,0
0.333,0.198,0.198,0,0,0,0,0.281,0.665,0.0982,0,0,0.0433,0,0
0,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
0.333,0.302,0.302,0,0,0,0,0.281,0.704,0.145,0,0,0.216,0,0
0,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0.381,0.105,5
0.333,0.367,0.367,1,0,0,0,0.281,0.704,0.263,0,0,0.237,0.264,12
0.667,0.57,0.57,0.0333,0,0,0,0.14,0.816,0.629,0,0,0.112,0.153,7
0.667,0.434,0.434,0,0,0,0,0.14,0.764,0.596,0,0,0.324,0.382,17
0.667,0.378,0.378,0,0,0,0,0.14,0.711,0.363,0,0,0.137,0.0681,3
0.667,0.117,0.117,0,0,0,0,0.281,0.619,0.0879,0,0,0.0433,0,0
0.667,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0.0433,0,0
0.667,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
0.667,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
0.667,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0.0671,0.0912,4
1,0.0518,0.0518,0.25,0,0,0,0.281,0.612,0.02,0,0,0.0642,0.0873,4
1,0.0841,0.0841,0,0,0.483,0.633,0.281,0.612,0.026,0,0.211,0,0,0
1,0.153,0.153,0,0,0,0.183,0.281,0.625,0.0355,0,0.322,0.541,0.204,9
1,0.319,0.319,0,0,0,0,0.14,0.724,0.074,0,0.248,0.465,0.397,18
1,0.481,0.481,0,0,0,0,0,0.824,0.126,0,0.433,0.468,0.128,6
1,0.495,0.495,0,0,0,0,0,0.824,0.149,0,0.442,0.398,0.482,15
0.667,0.337,0.337,0,0,0,0,0.14,0.738,0.117,0,0,0.334,0.278,9
0.333,0.187,0.187,0,0,0,0,0.281,0.652,0.0724,0,0,0,0,0
0,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0.0866,0,0
0.333,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0.13,0,0
0.333,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0.0866,0,0
0.333,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0.216,0,0
0.333,0.236,0.236,0.767,0,0,0,0.281,0.684,0.12,0,0,0,0,0
0.333,0.302,0.302,0,0,0,0,0.281,0.704,0.145,0,0,0,0,0
0.333,0.363,0.363,0,0,0,0,0.281,0.71,0.191,0,0,0,0,0
0.333,0.367,0.367,0,0,0,0,0.281,0.704,0.263,0,0,0.173,0,0
0.333,0.31,0.31,0,0,0,0,0.281,0.691,0.322,0,0,0.0433,0,0
0.667,0.434,0.434,0,0,0,0,0.14,0.764,0.596,0,0,0.0433,0,0
0.667,0.214,0.214,0,0,0,0,0.281,0.639,0.189,0,0,0,0,0
1,0.117,0.117,0,0,0,0,0.281,0.619,0.0879,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0.421,0.566,0.0159,0,0,0,0,0
1,0.05,0.05,0.25,0,0,0,0.421,0.566,0.0159,0,0,0.0992,0.135,6
1,0.153,0.153,0.783,0,0,0,0.281,0.625,0.0355,0,0,0,0,0
1,0.184,0.184,0.25,0,0,0,0.281,0.645,0.0449,0,0,0.0449,0.0611,3
